prompt_tokens,completion_tokens,cached_tokens,task_id,model
170620,443,0,0,gpt-4o-mini
1444,142,0,0,gpt-4o-2024-11-20
2966,111,0,0,gpt-4o-2024-11-20
494798,1354,0,0,gpt-4o-mini
5449,54,0,0,gpt-4o-2024-11-20
3547,10,0,0,gpt-4o-2024-11-20
1718,121,0,0,gpt-4o-2024-11-20
4523,138,0,0,gpt-4o-2024-11-20
110903,274,0,0,gpt-4o-mini
5387,57,0,0,gpt-4o-2024-11-20
2027,10,0,0,gpt-4o-2024-11-20
1723,173,0,0,gpt-4o-2024-11-20
3084,157,0,0,gpt-4o-2024-11-20
76779,188,0,0,gpt-4o-mini
3761,62,0,0,gpt-4o-2024-11-20
1919,42,0,0,gpt-4o-2024-11-20
1775,151,0,0,gpt-4o-2024-11-20
3075,161,0,0,gpt-4o-2024-11-20
119434,280,0,0,gpt-4o-mini
3663,116,0,0,gpt-4o-2024-11-20
1782,171,0,0,gpt-4o-2024-11-20
3211,183,0,0,gpt-4o-2024-11-20
76779,193,0,0,gpt-4o-mini
3682,63,0,0,gpt-4o-2024-11-20
1962,105,0,0,gpt-4o-2024-11-20
1846,154,0,0,gpt-4o-2024-11-20
3341,145,0,0,gpt-4o-2024-11-20
127965,302,0,0,gpt-4o-mini
3698,130,0,0,gpt-4o-2024-11-20
1847,163,0,0,gpt-4o-2024-11-20
3443,169,0,0,gpt-4o-2024-11-20
119434,292,0,0,gpt-4o-mini
3854,63,0,0,gpt-4o-2024-11-20
2175,105,0,0,gpt-4o-2024-11-20
1846,154,0,0,gpt-4o-2024-11-20
3553,140,0,0,gpt-4o-2024-11-20
76779,170,0,0,gpt-4o-mini
3769,62,0,0,gpt-4o-2024-11-20
2002,131,0,0,gpt-4o-2024-11-20
1871,149,0,0,gpt-4o-2024-11-20
3407,160,0,0,gpt-4o-2024-11-20
93841,230,0,0,gpt-4o-mini
3647,109,0,0,gpt-4o-2024-11-20
145027,382,0,1,gpt-4o-mini
1445,157,0,1,gpt-4o-2024-11-20
2900,140,0,1,gpt-4o-2024-11-20
119434,371,0,1,gpt-4o-mini
3907,95,0,1,gpt-4o-2024-11-20
1705,148,0,1,gpt-4o-2024-11-20
3094,124,0,1,gpt-4o-2024-11-20
145027,386,0,1,gpt-4o-mini
3898,51,0,1,gpt-4o-2024-11-20
2043,10,0,1,gpt-4o-2024-11-20
1728,151,0,1,gpt-4o-2024-11-20
3147,140,0,1,gpt-4o-2024-11-20
153558,407,0,1,gpt-4o-mini
3932,79,0,1,gpt-4o-2024-11-20
1728,150,0,1,gpt-4o-2024-11-20
3299,173,0,1,gpt-4o-2024-11-20
153558,404,0,1,gpt-4o-mini
3957,98,0,1,gpt-4o-2024-11-20
2021,183,0,1,gpt-4o-2024-11-20
3447,145,0,1,gpt-4o-2024-11-20
145027,394,0,1,gpt-4o-mini
3926,144,0,1,gpt-4o-2024-11-20
2076,209,0,1,gpt-4o-2024-11-20
3618,144,0,1,gpt-4o-2024-11-20
145027,404,0,1,gpt-4o-mini
4000,182,0,1,gpt-4o-2024-11-20
2132,182,0,1,gpt-4o-2024-11-20
3671,136,0,1,gpt-4o-2024-11-20
332709,955,0,1,gpt-4o-mini
4830,70,0,1,gpt-4o-2024-11-20
2900,10,0,1,gpt-4o-2024-11-20
1768,148,0,1,gpt-4o-2024-11-20
4403,173,0,1,gpt-4o-2024-11-20
170620,444,0,1,gpt-4o-mini
5115,73,0,1,gpt-4o-2024-11-20
2448,10,0,1,gpt-4o-2024-11-20
1760,154,0,1,gpt-4o-2024-11-20
3919,138,0,1,gpt-4o-2024-11-20
110903,267,0,1,gpt-4o-mini
4367,152,0,1,gpt-4o-2024-11-20
170620,480,0,2,gpt-4o-mini
1439,151,0,2,gpt-4o-2024-11-20
2986,137,0,2,gpt-4o-2024-11-20
127965,359,0,2,gpt-4o-mini
4007,41,0,2,gpt-4o-2024-11-20
2034,10,0,2,gpt-4o-2024-11-20
1688,124,0,2,gpt-4o-2024-11-20
3009,108,0,2,gpt-4o-2024-11-20
170620,442,0,2,gpt-4o-mini
4198,54,0,2,gpt-4o-2024-11-20
2312,10,0,2,gpt-4o-2024-11-20
1699,112,0,2,gpt-4o-2024-11-20
3360,144,0,2,gpt-4o-2024-11-20
170620,448,0,2,gpt-4o-mini
4489,105,0,2,gpt-4o-2024-11-20
1699,126,0,2,gpt-4o-2024-11-20
3510,176,0,2,gpt-4o-2024-11-20
162089,430,0,2,gpt-4o-mini
4484,108,0,2,gpt-4o-2024-11-20
2022,170,0,2,gpt-4o-2024-11-20
3678,114,0,2,gpt-4o-2024-11-20
162089,420,0,2,gpt-4o-mini
4455,83,0,2,gpt-4o-2024-11-20
2040,180,0,2,gpt-4o-2024-11-20
3785,164,0,2,gpt-4o-2024-11-20
110903,286,0,2,gpt-4o-mini
4163,51,0,2,gpt-4o-2024-11-20
2057,10,0,2,gpt-4o-2024-11-20
1741,164,0,2,gpt-4o-2024-11-20
3494,131,0,2,gpt-4o-2024-11-20
119434,336,0,2,gpt-4o-mini
3966,65,0,2,gpt-4o-2024-11-20
2133,39,0,2,gpt-4o-2024-11-20
1775,151,0,2,gpt-4o-2024-11-20
3621,131,0,2,gpt-4o-2024-11-20
119434,305,0,2,gpt-4o-mini
4012,112,0,2,gpt-4o-2024-11-20
1782,156,0,2,gpt-4o-2024-11-20
3579,131,0,2,gpt-4o-2024-11-20
119434,317,0,2,gpt-4o-mini
3994,124,0,2,gpt-4o-2024-11-20
2073,258,0,2,gpt-4o-2024-11-20
3628,161,0,2,gpt-4o-2024-11-20
145027,385,0,2,gpt-4o-mini
4006,76,0,2,gpt-4o-2024-11-20
2152,67,0,2,gpt-4o-2024-11-20
1837,162,0,2,gpt-4o-2024-11-20
3547,125,0,2,gpt-4o-2024-11-20
76779,187,0,2,gpt-4o-mini
3823,62,0,2,gpt-4o-2024-11-20
2013,93,0,2,gpt-4o-2024-11-20
145027,396,0,3,gpt-4o-mini
1439,200,0,3,gpt-4o-2024-11-20
2926,120,0,3,gpt-4o-2024-11-20
119434,334,0,3,gpt-4o-mini
3888,41,0,3,gpt-4o-2024-11-20
2056,10,0,3,gpt-4o-2024-11-20
1733,177,0,3,gpt-4o-2024-11-20
3041,124,0,3,gpt-4o-2024-11-20
170620,450,0,3,gpt-4o-mini
4187,78,0,3,gpt-4o-2024-11-20
2389,33,0,3,gpt-4o-2024-11-20
1792,169,0,3,gpt-4o-2024-11-20
3473,120,0,3,gpt-4o-2024-11-20
170620,437,0,3,gpt-4o-mini
4498,155,0,3,gpt-4o-2024-11-20
1817,172,0,3,gpt-4o-2024-11-20
3607,150,0,3,gpt-4o-2024-11-20
110903,262,0,3,gpt-4o-mini
4205,64,0,3,gpt-4o-2024-11-20
2073,76,0,3,gpt-4o-2024-11-20
1824,201,0,3,gpt-4o-2024-11-20
3386,171,0,3,gpt-4o-2024-11-20
127965,353,0,3,gpt-4o-mini
3878,70,0,3,gpt-4o-2024-11-20
2144,114,0,3,gpt-4o-2024-11-20
1883,179,0,3,gpt-4o-2024-11-20
3511,107,0,3,gpt-4o-2024-11-20
93841,228,0,3,gpt-4o-mini
3825,64,0,3,gpt-4o-2024-11-20
2131,153,0,3,gpt-4o-2024-11-20
1908,171,0,3,gpt-4o-2024-11-20
3472,143,0,3,gpt-4o-2024-11-20
85310,200,0,3,gpt-4o-mini
3754,122,0,3,gpt-4o-2024-11-20
1898,158,0,3,gpt-4o-2024-11-20
3549,157,0,3,gpt-4o-2024-11-20
85310,205,0,3,gpt-4o-mini
3746,130,0,3,gpt-4o-2024-11-20
2223,218,0,3,gpt-4o-2024-11-20
3564,189,0,3,gpt-4o-2024-11-20
76779,189,0,3,gpt-4o-mini
3752,131,0,3,gpt-4o-2024-11-20
2278,208,0,3,gpt-4o-2024-11-20
3652,209,0,3,gpt-4o-2024-11-20
85310,207,0,3,gpt-4o-mini
3772,129,0,3,gpt-4o-2024-11-20
2300,231,0,3,gpt-4o-2024-11-20
3788,158,0,3,gpt-4o-2024-11-20
76779,188,0,3,gpt-4o-mini
3749,133,0,3,gpt-4o-2024-11-20
145027,401,0,4,gpt-4o-mini
1453,166,0,4,gpt-4o-2024-11-20
2928,104,0,4,gpt-4o-2024-11-20
136496,406,0,4,gpt-4o-mini
3978,91,0,4,gpt-4o-2024-11-20
1725,144,0,4,gpt-4o-2024-11-20
3164,109,0,4,gpt-4o-2024-11-20
136496,378,0,4,gpt-4o-mini
3937,60,0,4,gpt-4o-2024-11-20
2046,10,0,4,gpt-4o-2024-11-20
1757,148,0,4,gpt-4o-2024-11-20
3139,134,0,4,gpt-4o-2024-11-20
127965,377,0,4,gpt-4o-mini
3942,113,0,4,gpt-4o-2024-11-20
1756,165,0,4,gpt-4o-2024-11-20
3361,131,0,4,gpt-4o-2024-11-20
136496,376,0,4,gpt-4o-mini
3914,60,0,4,gpt-4o-2024-11-20
2043,10,0,4,gpt-4o-2024-11-20
1756,148,0,4,gpt-4o-2024-11-20
3341,166,0,4,gpt-4o-2024-11-20
477736,1366,0,4,gpt-4o-mini
5404,63,0,4,gpt-4o-2024-11-20
3585,10,0,4,gpt-4o-2024-11-20
1759,141,0,4,gpt-4o-2024-11-20
4963,110,0,4,gpt-4o-2024-11-20
85310,218,0,4,gpt-4o-mini
5209,66,0,4,gpt-4o-2024-11-20
1875,10,0,4,gpt-4o-2024-11-20
1757,164,0,4,gpt-4o-2024-11-20
3196,121,0,4,gpt-4o-2024-11-20
162089,448,0,4,gpt-4o-mini
3868,77,0,4,gpt-4o-2024-11-20
2244,10,0,4,gpt-4o-2024-11-20
1779,155,0,4,gpt-4o-2024-11-20
3565,170,0,4,gpt-4o-2024-11-20
153558,377,0,4,gpt-4o-mini
4121,70,0,4,gpt-4o-2024-11-20
2128,10,0,4,gpt-4o-2024-11-20
1770,164,0,4,gpt-4o-2024-11-20
3354,141,0,4,gpt-4o-2024-11-20
162089,420,0,4,gpt-4o-mini
4050,67,0,4,gpt-4o-2024-11-20
2174,10,0,4,gpt-4o-2024-11-20
1766,138,0,4,gpt-4o-2024-11-20
3417,119,0,4,gpt-4o-2024-11-20
162089,420,0,4,gpt-4o-mini
4087,66,0,4,gpt-4o-2024-11-20
2174,10,0,4,gpt-4o-2024-11-20
1765,166,0,4,gpt-4o-2024-11-20
3399,131,0,4,gpt-4o-2024-11-20
145027,344,0,4,gpt-4o-mini
4005,71,0,4,gpt-4o-2024-11-20
2098,10,0,4,gpt-4o-2024-11-20
1775,191,0,4,gpt-4o-2024-11-20
3332,149,0,4,gpt-4o-2024-11-20
136496,323,0,4,gpt-4o-mini
3915,94,0,4,gpt-4o-2024-11-20
2104,10,0,4,gpt-4o-2024-11-20
1809,165,0,4,gpt-4o-2024-11-20
3296,142,0,4,gpt-4o-2024-11-20
136496,354,0,4,gpt-4o-mini
3932,157,0,4,gpt-4o-2024-11-20
170620,436,0,5,gpt-4o-mini
1455,168,0,5,gpt-4o-2024-11-20
2982,118,0,5,gpt-4o-2024-11-20
119434,343,0,5,gpt-4o-mini
3965,75,0,5,gpt-4o-2024-11-20
1723,140,0,5,gpt-4o-2024-11-20
3075,107,0,5,gpt-4o-2024-11-20
170620,425,0,5,gpt-4o-mini
3930,60,0,5,gpt-4o-2024-11-20
2119,10,0,5,gpt-4o-2024-11-20
1755,151,0,5,gpt-4o-2024-11-20
3195,140,0,5,gpt-4o-2024-11-20
170620,448,0,5,gpt-4o-mini
4043,92,0,5,gpt-4o-2024-11-20
1754,148,0,5,gpt-4o-2024-11-20
3345,153,0,5,gpt-4o-2024-11-20
486267,1394,0,5,gpt-4o-mini
5544,61,0,5,gpt-4o-2024-11-20
3617,10,0,5,gpt-4o-2024-11-20
1755,133,0,5,gpt-4o-2024-11-20
4908,119,0,5,gpt-4o-2024-11-20
85310,206,0,5,gpt-4o-mini
5245,64,0,5,gpt-4o-2024-11-20
1874,28,0,5,gpt-4o-2024-11-20
1776,164,0,5,gpt-4o-2024-11-20
3250,134,0,5,gpt-4o-2024-11-20
127965,306,0,5,gpt-4o-mini
3665,78,0,5,gpt-4o-2024-11-20
2067,28,0,5,gpt-4o-2024-11-20
1799,177,0,5,gpt-4o-2024-11-20
3357,153,0,5,gpt-4o-2024-11-20
170620,466,0,5,gpt-4o-mini
4116,71,0,5,gpt-4o-2024-11-20
2327,50,0,5,gpt-4o-2024-11-20
1817,152,0,5,gpt-4o-2024-11-20
3663,141,0,5,gpt-4o-2024-11-20
153558,398,0,5,gpt-4o-mini
4198,128,0,5,gpt-4o-2024-11-20
1811,170,0,5,gpt-4o-2024-11-20
3556,147,0,5,gpt-4o-2024-11-20
85310,216,0,5,gpt-4o-mini
3813,75,0,5,gpt-4o-2024-11-20
1965,93,0,5,gpt-4o-2024-11-20
170620,464,0,6,gpt-4o-mini
1452,158,0,6,gpt-4o-2024-11-20
3004,118,0,6,gpt-4o-2024-11-20
127965,356,0,6,gpt-4o-mini
4005,79,0,6,gpt-4o-2024-11-20
1717,148,0,6,gpt-4o-2024-11-20
3091,130,0,6,gpt-4o-2024-11-20
170620,446,0,6,gpt-4o-mini
3979,62,0,6,gpt-4o-2024-11-20
2134,10,0,6,gpt-4o-2024-11-20
1749,171,0,6,gpt-4o-2024-11-20
3250,137,0,6,gpt-4o-2024-11-20
486267,1319,0,6,gpt-4o-mini
5485,63,0,6,gpt-4o-2024-11-20
3559,10,0,6,gpt-4o-2024-11-20
1772,140,0,6,gpt-4o-2024-11-20
4714,108,0,6,gpt-4o-2024-11-20
85310,201,0,6,gpt-4o-mini
5179,67,0,6,gpt-4o-2024-11-20
1886,10,0,6,gpt-4o-2024-11-20
1751,165,0,6,gpt-4o-2024-11-20
3139,148,0,6,gpt-4o-2024-11-20
136496,359,0,6,gpt-4o-mini
3750,64,0,6,gpt-4o-2024-11-20
2094,10,0,6,gpt-4o-2024-11-20
1767,172,0,6,gpt-4o-2024-11-20
3404,148,0,6,gpt-4o-2024-11-20
93841,240,0,6,gpt-4o-mini
3795,77,0,6,gpt-4o-2024-11-20
1961,10,0,6,gpt-4o-2024-11-20
1783,233,0,6,gpt-4o-2024-11-20
3244,177,0,6,gpt-4o-2024-11-20
153558,392,0,6,gpt-4o-mini
3963,73,0,6,gpt-4o-2024-11-20
2278,10,0,6,gpt-4o-2024-11-20
1805,214,0,6,gpt-4o-2024-11-20
3574,157,0,6,gpt-4o-2024-11-20
102372,264,0,6,gpt-4o-mini
3963,69,0,6,gpt-4o-2024-11-20
2005,31,0,6,gpt-4o-2024-11-20
1841,213,0,6,gpt-4o-2024-11-20
3287,135,0,6,gpt-4o-2024-11-20
136496,349,0,6,gpt-4o-mini
3796,67,0,6,gpt-4o-2024-11-20
2152,31,0,6,gpt-4o-2024-11-20
1835,208,0,6,gpt-4o-2024-11-20
3435,149,0,6,gpt-4o-2024-11-20
136496,372,0,6,gpt-4o-mini
3980,144,0,6,gpt-4o-2024-11-20
1835,221,0,6,gpt-4o-2024-11-20
3614,166,0,6,gpt-4o-2024-11-20
119434,286,0,6,gpt-4o-mini
3914,153,0,6,gpt-4o-2024-11-20
170620,467,0,7,gpt-4o-mini
1474,188,0,7,gpt-4o-2024-11-20
3063,113,0,7,gpt-4o-2024-11-20
136496,311,0,7,gpt-4o-mini
3964,40,0,7,gpt-4o-2024-11-20
2081,26,0,7,gpt-4o-2024-11-20
1793,177,0,7,gpt-4o-2024-11-20
3067,113,0,7,gpt-4o-2024-11-20
76779,186,0,7,gpt-4o-mini
3707,80,0,7,gpt-4o-2024-11-20
1986,101,0,7,gpt-4o-2024-11-20
1919,206,0,7,gpt-4o-2024-11-20
3072,127,0,7,gpt-4o-2024-11-20
116570,290,0,7,gpt-4o-mini
3733,72,0,7,gpt-4o-2024-11-20
2201,151,0,7,gpt-4o-2024-11-20
1960,184,0,7,gpt-4o-2024-11-20
3292,117,0,7,gpt-4o-2024-11-20
116570,268,0,7,gpt-4o-mini
3854,63,0,7,gpt-4o-2024-11-20
2222,182,0,7,gpt-4o-2024-11-20
1982,187,0,7,gpt-4o-2024-11-20
3346,114,0,7,gpt-4o-2024-11-20
116570,261,0,7,gpt-4o-mini
3815,60,0,7,gpt-4o-2024-11-20
2240,195,0,7,gpt-4o-2024-11-20
1989,185,0,7,gpt-4o-2024-11-20
3404,114,0,7,gpt-4o-2024-11-20
125101,310,0,7,gpt-4o-mini
3877,67,0,7,gpt-4o-2024-11-20
2326,211,0,7,gpt-4o-2024-11-20
2012,190,0,7,gpt-4o-2024-11-20
3500,147,0,7,gpt-4o-2024-11-20
136496,316,0,7,gpt-4o-mini
4000,76,0,7,gpt-4o-2024-11-20
2378,257,0,7,gpt-4o-2024-11-20
2068,190,0,7,gpt-4o-2024-11-20
3616,125,0,7,gpt-4o-2024-11-20
127965,281,0,7,gpt-4o-mini
3983,70,0,7,gpt-4o-2024-11-20
2393,345,0,7,gpt-4o-2024-11-20
2156,186,0,7,gpt-4o-2024-11-20
3661,120,0,7,gpt-4o-2024-11-20
127965,286,0,7,gpt-4o-mini
3959,70,0,7,gpt-4o-2024-11-20
2490,364,0,7,gpt-4o-2024-11-20
2167,192,0,7,gpt-4o-2024-11-20
3705,117,0,7,gpt-4o-2024-11-20
145027,343,0,7,gpt-4o-mini
4034,72,0,7,gpt-4o-2024-11-20
2571,415,0,7,gpt-4o-2024-11-20
2222,183,0,7,gpt-4o-2024-11-20
3820,120,0,7,gpt-4o-2024-11-20
145027,336,0,7,gpt-4o-mini
4106,61,0,7,gpt-4o-2024-11-20
2618,455,0,7,gpt-4o-2024-11-20
2251,179,0,7,gpt-4o-2024-11-20
3858,137,0,7,gpt-4o-2024-11-20
145027,379,0,7,gpt-4o-mini
4082,69,0,7,gpt-4o-2024-11-20
2641,505,0,7,gpt-4o-2024-11-20
2308,82,0,7,gpt-4o-2024-11-20
2493,447,0,7,gpt-4o-2024-11-20
1863,178,0,7,gpt-4o-2024-11-20
170620,472,0,8,gpt-4o-mini
1450,178,0,8,gpt-4o-2024-11-20
3089,126,0,8,gpt-4o-2024-11-20
153558,395,0,8,gpt-4o-mini
4049,55,0,8,gpt-4o-2024-11-20
2139,10,0,8,gpt-4o-2024-11-20
1733,138,0,8,gpt-4o-2024-11-20
3188,120,0,8,gpt-4o-2024-11-20
196213,470,0,8,gpt-4o-mini
4211,69,0,8,gpt-4o-2024-11-20
2311,49,0,8,gpt-4o-2024-11-20
1793,160,0,8,gpt-4o-2024-11-20
3462,150,0,8,gpt-4o-2024-11-20
85310,200,0,8,gpt-4o-mini
4019,70,0,8,gpt-4o-2024-11-20
1988,111,0,8,gpt-4o-2024-11-20
1874,162,0,8,gpt-4o-2024-11-20
3213,150,0,8,gpt-4o-2024-11-20
125101,286,0,8,gpt-4o-mini
3757,75,0,8,gpt-4o-2024-11-20
2177,151,0,8,gpt-4o-2024-11-20
1916,164,0,8,gpt-4o-2024-11-20
3422,116,0,8,gpt-4o-2024-11-20
125101,297,0,8,gpt-4o-mini
3896,122,0,8,gpt-4o-2024-11-20
1896,164,0,8,gpt-4o-2024-11-20
3553,2048,0,8,gpt-4o-2024-11-20
170620,443,0,9,gpt-4o-mini
1450,161,0,9,gpt-4o-2024-11-20
3049,116,0,9,gpt-4o-2024-11-20
153558,398,0,9,gpt-4o-mini
4019,40,0,9,gpt-4o-2024-11-20
2117,10,0,9,gpt-4o-2024-11-20
1707,134,0,9,gpt-4o-2024-11-20
3165,105,0,9,gpt-4o-2024-11-20
187682,459,0,9,gpt-4o-mini
4174,62,0,9,gpt-4o-2024-11-20
2275,10,0,9,gpt-4o-2024-11-20
1740,162,0,9,gpt-4o-2024-11-20
3363,136,0,9,gpt-4o-2024-11-20
187682,433,0,9,gpt-4o-mini
4313,118,0,9,gpt-4o-2024-11-20
1740,148,0,9,gpt-4o-2024-11-20
3514,147,0,9,gpt-4o-2024-11-20
204744,476,0,9,gpt-4o-mini
4346,141,0,9,gpt-4o-2024-11-20
2065,218,0,9,gpt-4o-2024-11-20
3763,158,0,9,gpt-4o-2024-11-20
187682,437,0,9,gpt-4o-mini
4382,166,0,9,gpt-4o-2024-11-20
2146,193,0,9,gpt-4o-2024-11-20
3894,160,0,9,gpt-4o-2024-11-20
196213,458,0,9,gpt-4o-mini
4400,162,0,9,gpt-4o-2024-11-20
2122,240,0,9,gpt-4o-2024-11-20
4021,186,0,9,gpt-4o-2024-11-20
196213,456,0,9,gpt-4o-mini
4446,164,0,9,gpt-4o-2024-11-20
170620,454,0,10,gpt-4o-mini
1439,158,0,10,gpt-4o-2024-11-20
3050,113,0,10,gpt-4o-2024-11-20
145027,352,0,10,gpt-4o-mini
3979,40,0,10,gpt-4o-2024-11-20
2056,27,0,10,gpt-4o-2024-11-20
1714,117,0,10,gpt-4o-2024-11-20
3111,118,0,10,gpt-4o-2024-11-20
196213,468,0,10,gpt-4o-mini
4133,57,0,10,gpt-4o-2024-11-20
2279,83,0,10,gpt-4o-2024-11-20
1781,144,0,10,gpt-4o-2024-11-20
3436,147,0,10,gpt-4o-2024-11-20
221806,552,0,10,gpt-4o-mini
4540,56,0,10,gpt-4o-2024-11-20
2516,132,0,10,gpt-4o-2024-11-20
